city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,month,year,day,is_night,high_risk
Delhi,Delhi,28.838921,76.991482,2025-02-16,22:00,22,Sunday,1,highway,3,0,clear,high,24,high,distraction,minor,2,1,0,No Festival,2,2025,16,1,0
Hyderabad,Telangana,17.470165,78.472552,2022-09-24,2:00,2,Saturday,1,urban,3,1,rain,medium,20,medium,weather,major,1,1,0,No Festival,9,2022,24,1,1
Pune,Maharashtra,18.537548,73.723176,2022-10-14,23:00,23,Friday,0,rural,3,0,rain,medium,38,high,drunk driving,major,5,3,0,No Festival,10,2022,14,1,1
Bangalore,Karnataka,12.941515,77.674347,2024-11-14,5:00,5,Thursday,0,rural,6,0,fog,low,35,high,overspeeding,minor,3,1,0,No Festival,11,2024,14,1,0
Pune,Maharashtra,18.467712,73.954984,2025-03-14,9:00,9,Friday,0,rural,1,1,fog,low,18,high,poor road,minor,5,5,1,No Festival,3,2025,14,0,0
Hyderabad,Telangana,17.44697,78.449607,2023-09-19,18:00,18,Tuesday,0,urban,1,0,fog,low,19,high,overspeeding,minor,2,1,1,No Festival,9,2023,19,0,0
Mumbai,Maharashtra,19.250366,72.762997,2024-06-06,22:00,22,Thursday,0,urban,4,0,fog,low,35,medium,poor road,major,4,4,0,No Festival,6,2024,6,1,1
Kolkata,West Bengal,22.48522,88.321126,2022-09-05,2:00,2,Monday,0,rural,4,1,clear,high,37,low,overspeeding,minor,3,3,0,No Festival,9,2022,5,1,0
Chandigarh,Punjab,30.662289,76.860184,2024-08-03,7:00,7,Saturday,1,rural,4,0,clear,high,27,medium,weather,major,3,0,0,No Festival,8,2024,3,0,1
Pune,Maharashtra,18.687205,73.858717,2023-03-22,17:00,17,Wednesday,0,highway,4,0,clear,high,16,medium,distraction,major,4,4,1,No Festival,3,2023,22,0,1
Chandigarh,Punjab,30.729891,76.786151,2022-04-17,6:00,6,Sunday,1,highway,2,0,fog,low,34,low,drunk driving,minor,5,2,0,No Festival,4,2022,17,0,0
Chennai,Tamil Nadu,12.810721,80.19735,2023-08-05,18:00,18,Saturday,1,urban,2,1,fog,low,36,high,poor road,minor,4,2,1,No Festival,8,2023,5,0,0
Kolkata,West Bengal,22.537913,88.323836,2023-07-16,23:00,23,Sunday,1,highway,5,1,rain,low,40,high,distraction,minor,3,1,0,No Festival,7,2023,16,1,0
Bangalore,Karnataka,13.045999,77.520041,2023-04-24,12:00,12,Monday,0,urban,4,1,rain,medium,26,low,distraction,fatal,1,1,0,No Festival,4,2023,24,0,1
Bangalore,Karnataka,12.848361,77.433807,2022-10-26,7:00,7,Wednesday,0,rural,2,0,clear,high,25,medium,drunk driving,major,1,0,0,No Festival,10,2022,26,0,1
Bangalore,Karnataka,13.057964,77.590444,2023-12-10,20:00,20,Sunday,1,highway,2,0,clear,high,40,medium,drunk driving,minor,4,0,0,No Festival,12,2023,10,1,0
Mumbai,Maharashtra,18.990602,72.799954,2024-12-09,20:00,20,Monday,0,highway,2,1,rain,low,23,low,drunk driving,major,1,0,0,No Festival,12,2024,9,1,1
Hyderabad,Telangana,17.426893,78.488724,2024-03-01,13:00,13,Friday,0,highway,4,1,fog,low,39,low,distraction,minor,5,1,0,No Festival,3,2024,1,0,0
Mumbai,Maharashtra,18.838523,72.976824,2023-11-22,22:00,22,Wednesday,0,rural,1,1,rain,medium,15,low,drunk driving,minor,5,1,0,No Festival,11,2023,22,1,0
Chennai,Tamil Nadu,13.10543,80.11737,2023-12-20,4:00,4,Wednesday,0,rural,6,0,clear,high,29,medium,weather,minor,2,1,0,No Festival,12,2023,20,1,0
Delhi,Delhi,28.519189,76.859451,2024-02-03,2:00,2,Saturday,1,rural,1,0,rain,low,27,high,poor road,minor,1,0,0,No Festival,2,2024,3,1,0
Bangalore,Karnataka,12.94701,77.785423,2024-11-19,16:00,16,Tuesday,0,rural,1,0,clear,high,34,low,distraction,minor,5,5,0,No Festival,11,2024,19,0,0
Hyderabad,Telangana,17.49119,78.27063,2025-02-15,8:00,8,Saturday,1,urban,4,0,rain,low,31,high,poor road,minor,3,0,1,No Festival,2,2025,15,0,0
Chennai,Tamil Nadu,12.812744,80.226751,2022-09-07,20:00,20,Wednesday,0,highway,2,0,fog,low,17,low,drunk driving,major,5,2,0,No Festival,9,2022,7,1,1
Chennai,Tamil Nadu,13.126298,80.273119,2024-07-07,9:00,9,Sunday,1,highway,6,1,clear,high,34,medium,overspeeding,major,4,1,1,No Festival,7,2024,7,0,1
Kolkata,West Bengal,22.686595,88.399393,2024-08-31,15:00,15,Saturday,1,rural,6,0,fog,low,31,medium,weather,fatal,1,1,0,No Festival,8,2024,31,0,1
Hyderabad,Telangana,17.416162,78.471995,2022-02-12,11:00,11,Saturday,1,rural,4,1,rain,low,17,high,distraction,minor,3,1,0,No Festival,2,2022,12,0,0
Chennai,Tamil Nadu,12.829772,80.266893,2023-11-23,5:00,5,Thursday,0,rural,3,0,rain,low,24,high,overspeeding,minor,2,1,0,No Festival,11,2023,23,1,0
Chandigarh,Punjab,30.703228,76.745141,2022-04-20,22:00,22,Wednesday,0,highway,5,0,rain,low,36,high,drunk driving,minor,4,4,0,No Festival,4,2022,20,1,0
Pune,Maharashtra,18.671835,73.77906,2023-06-09,13:00,13,Friday,0,urban,3,0,rain,low,18,low,poor road,minor,1,1,0,No Festival,6,2023,9,0,0
Chandigarh,Punjab,30.780406,76.759015,2024-11-28,19:00,19,Thursday,0,rural,1,0,rain,medium,26,high,drunk driving,major,3,0,1,No Festival,11,2024,28,0,1
Bangalore,Karnataka,12.863873,77.573049,2023-06-23,14:00,14,Friday,0,rural,3,0,clear,high,20,high,drunk driving,major,4,0,0,No Festival,6,2023,23,0,1
Chandigarh,Punjab,30.612508,76.8941,2024-09-07,11:00,11,Saturday,1,highway,2,1,rain,medium,15,medium,drunk driving,minor,3,2,0,No Festival,9,2024,7,0,0
Pune,Maharashtra,18.613759,73.739609,2022-11-08,17:00,17,Tuesday,0,highway,5,0,clear,high,16,high,weather,major,4,1,1,No Festival,11,2022,8,0,1
Kolkata,West Bengal,22.615566,88.245733,2022-09-02,13:00,13,Friday,0,urban,4,1,clear,high,25,low,poor road,major,3,1,0,No Festival,9,2022,2,0,1
Chennai,Tamil Nadu,12.917829,80.107956,2022-09-09,0:00,0,Friday,0,highway,6,0,rain,medium,40,high,overspeeding,major,2,0,0,No Festival,9,2022,9,1,1
Chandigarh,Punjab,30.669447,76.798384,2024-07-14,13:00,13,Sunday,1,urban,5,1,fog,low,38,medium,weather,minor,4,3,0,No Festival,7,2024,14,0,0
Chennai,Tamil Nadu,13.023148,80.267046,2023-10-24,22:00,22,Tuesday,0,rural,4,0,clear,high,36,low,distraction,major,3,3,0,No Festival,10,2023,24,1,1
Hyderabad,Telangana,17.469395,78.426902,2022-06-12,23:00,23,Sunday,1,urban,1,0,rain,low,17,medium,poor road,major,3,1,0,No Festival,6,2022,12,1,1
Pune,Maharashtra,18.445959,73.866259,2022-12-05,13:00,13,Monday,0,rural,4,1,clear,high,20,medium,distraction,major,2,2,0,No Festival,12,2022,5,0,1
Bangalore,Karnataka,12.810804,77.644324,2023-04-12,15:00,15,Wednesday,0,highway,3,0,fog,low,31,low,weather,minor,1,1,0,No Festival,4,2023,12,0,0
Kolkata,West Bengal,22.605036,88.211938,2022-07-06,20:00,20,Wednesday,0,urban,5,1,rain,medium,22,medium,overspeeding,major,1,1,0,No Festival,7,2022,6,1,1
Chandigarh,Punjab,30.749547,76.70627,2024-01-17,5:00,5,Wednesday,0,urban,1,0,fog,low,24,high,poor road,minor,4,2,0,No Festival,1,2024,17,1,0
Delhi,Delhi,28.8028,76.835013,2022-06-27,15:00,15,Monday,0,highway,4,0,rain,medium,19,low,drunk driving,fatal,2,2,0,No Festival,6,2022,27,0,1
Pune,Maharashtra,18.571932,73.724503,2025-01-21,3:00,3,Tuesday,0,highway,2,0,clear,high,31,low,drunk driving,major,3,0,0,No Festival,1,2025,21,1,1
Bangalore,Karnataka,12.913562,77.619006,2023-10-30,19:00,19,Monday,0,highway,3,0,rain,medium,34,medium,poor road,major,4,3,1,No Festival,10,2023,30,0,1
Chandigarh,Punjab,30.771578,76.798125,2023-09-24,20:00,20,Sunday,1,highway,3,1,rain,medium,25,high,weather,fatal,5,5,0,No Festival,9,2023,24,1,1
Chennai,Tamil Nadu,12.910539,80.183088,2023-07-08,12:00,12,Saturday,1,highway,5,1,clear,high,28,high,poor road,minor,3,2,0,No Festival,7,2023,8,0,0
Hyderabad,Telangana,17.57514,78.484234,2023-07-23,0:00,0,Sunday,1,highway,5,0,rain,low,17,low,distraction,major,1,0,0,No Festival,7,2023,23,1,1
Pune,Maharashtra,18.697073,73.828047,2022-11-28,4:00,4,Monday,0,highway,2,0,clear,high,20,high,weather,minor,5,2,0,No Festival,11,2022,28,1,0
Mumbai,Maharashtra,19.257558,72.75368,2024-02-13,10:00,10,Tuesday,0,highway,3,1,fog,low,30,high,weather,major,3,0,1,No Festival,2,2024,13,0,1
Chennai,Tamil Nadu,13.099257,80.226182,2024-09-21,8:00,8,Saturday,1,urban,4,0,rain,low,32,high,poor road,major,1,0,1,No Festival,9,2024,21,0,1
Chandigarh,Punjab,30.612831,76.810119,2024-11-23,22:00,22,Saturday,1,highway,4,1,rain,medium,17,medium,drunk driving,minor,4,4,0,No Festival,11,2024,23,1,0
Bangalore,Karnataka,12.851488,77.589232,2024-10-22,21:00,21,Tuesday,0,urban,2,1,fog,low,36,high,drunk driving,minor,1,0,0,No Festival,10,2024,22,1,0
Kolkata,West Bengal,22.408139,88.322983,2023-12-27,21:00,21,Wednesday,0,rural,3,0,rain,medium,29,high,distraction,minor,1,0,0,No Festival,12,2023,27,1,0
Kolkata,West Bengal,22.470344,88.318475,2022-06-05,6:00,6,Sunday,1,urban,3,1,clear,high,38,medium,drunk driving,minor,3,3,0,No Festival,6,2022,5,0,0
Kolkata,West Bengal,22.672696,88.400666,2023-01-27,15:00,15,Friday,0,highway,2,0,clear,high,28,low,distraction,major,2,1,0,No Festival,1,2023,27,0,1
Chennai,Tamil Nadu,13.145041,80.133716,2022-05-06,7:00,7,Friday,0,highway,5,0,fog,low,15,high,weather,major,1,0,0,No Festival,5,2022,6,0,1
Kolkata,West Bengal,22.524367,88.453597,2024-07-31,1:00,1,Wednesday,0,urban,5,0,rain,medium,26,low,weather,minor,2,0,0,No Festival,7,2024,31,1,0
Bangalore,Karnataka,13.055067,77.418018,2023-10-19,11:00,11,Thursday,0,rural,4,1,rain,low,30,low,distraction,minor,3,2,0,No Festival,10,2023,19,0,0
Delhi,Delhi,28.654528,76.925723,2022-10-05,2:00,2,Wednesday,0,urban,4,1,rain,low,35,low,weather,major,5,2,0,No Festival,10,2022,5,1,1
Bangalore,Karnataka,13.174917,77.602348,2023-11-04,21:00,21,Saturday,1,rural,4,1,rain,low,29,medium,drunk driving,major,4,4,0,No Festival,11,2023,4,1,1
Pune,Maharashtra,18.479329,73.88208,2022-11-06,22:00,22,Sunday,1,rural,6,0,clear,high,33,low,poor road,fatal,5,5,0,No Festival,11,2022,6,1,1
Chandigarh,Punjab,30.65561,76.831544,2024-04-25,3:00,3,Thursday,0,highway,6,1,rain,medium,25,low,poor road,fatal,1,1,0,No Festival,4,2024,25,1,1
Bangalore,Karnataka,13.052805,77.617588,2024-07-23,14:00,14,Tuesday,0,urban,3,1,rain,medium,26,medium,weather,minor,5,0,0,No Festival,7,2024,23,0,0
Delhi,Delhi,28.834402,77.209459,2022-12-23,12:00,12,Friday,0,rural,5,1,fog,low,33,medium,poor road,fatal,3,3,0,No Festival,12,2022,23,0,1
Mumbai,Maharashtra,19.090344,72.902108,2022-03-28,10:00,10,Monday,0,urban,6,0,clear,high,35,high,weather,fatal,2,2,1,No Festival,3,2022,28,0,1
